train,test
2.179878497178932E-4,2.2120089546101836E-4
2.1786505588069225E-4,2.2072592366408455E-4
2.1763375360876603E-4,2.2053019096643416E-4
2.1742964623049102E-4,2.206261124015864E-4
2.1715499371220703E-4,2.207350773996202E-4
2.1700622059400568E-4,2.209130251561365E-4
2.1691967844713578E-4,2.2098335700194348E-4
2.168763707531918E-4,2.2096451260643504E-4
2.1684518701315902E-4,2.2088266937460982E-4
2.1680213943178062E-4,2.208157197192273E-4
2.1673850137346836E-4,2.2081300273188345E-4
2.166567094170628E-4,2.2082125771820225E-4
2.1657945565659175E-4,2.2083969451890508E-4
2.1646111045217712E-4,2.2110335119086515E-4
2.1635611301204844E-4,2.207155190758088E-4
2.16161765812729E-4,2.2056441861749714E-4
2.1604244226648198E-4,2.2036735170138374E-4
2.1593154545992488E-4,2.2029356391924885E-4
2.15820232132581E-4,2.202479021584424E-4
2.1568424578428548E-4,2.20147579282127E-4
2.1552486462741584E-4,2.2019804987135345E-4
2.1540923527764013E-4,2.2013882146600816E-4
2.1533216739619856E-4,2.2024852684730836E-4
2.1528017513933303E-4,2.202807666073606E-4
2.1521696505064756E-4,2.203464559128376E-4
2.1513486931779306E-4,2.2036986163763534E-4
2.1502818310710527E-4,2.2072513254837192E-4
2.1493283840152736E-4,2.2043027461193083E-4
2.1471955498255345E-4,2.2001820349825375E-4
2.144735808715318E-4,2.1946468651871156E-4
2.1411535596575345E-4,2.1904680452369463E-4
2.137600236556976E-4,2.184123867679424E-4
2.1350020410197202E-4,2.1806170244188707E-4
2.1336542831217864E-4,2.179182100426157E-4
2.1327783073089363E-4,2.1772908039675192E-4
2.1323094767223917E-4,2.175653960843767E-4
2.1318213780226655E-4,2.1738423258672293E-4
2.1311129496694457E-4,2.1719054298005564E-4
2.1305446813138742E-4,2.170602583626513E-4
2.1300319459049318E-4,2.171545802646323E-4
2.129637194873054E-4,2.1713676151811331E-4
2.1291994539093112E-4,2.1703051429407776E-4
2.1284660864857486E-4,2.1692924600162002E-4
2.1272824954564782E-4,2.1635175342470166E-4
2.12535353444942E-4,2.1608440495431437E-4
2.123652938074193E-4,2.1579585313848986E-4
2.1220074071141327E-4,2.1553595353635273E-4
2.1209377691163843E-4,2.1546060058178477E-4
2.1198877217562894E-4,2.1537912940121338E-4
2.1188976557754975E-4,2.15008392664846E-4
